1,"Hamilton",31.3
1,"Bottas",28.4
1,"Verstappen",26.1
1,"Leclerc",24.2
1,"Vettel",21.8
1,"Albon",20.3
1,"Sainz",15.5
1,"Ricciardo",14.1
1,"Ocon",12.5
1,"Norris",11.5
1,"Gasly",10.4
1,"Raikkonen",10.3
1,"Kvyat",9.9
1,"Perez",9.3
1,"Magnussen",8.2
1,"Stroll",7.9
1,"Giovinazzi",7.7
1,"Grosjean",6.0
1,"Russell",5.9
1,"Latifi",5.8
1,"Mercedes",32.2
1,"Ferrari",27.4
1,"Red Bull",24.6
1,"McLaren",14.9
1,"AlphaTauri",13.2
1,"Renault",12.6
1,"Racing Point",10.1
1,"Alfa Romeo",8.7
1,"Haas",7.8
1,"Williams",6.5
